,Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,DRIVER RATING,race_ID
0,Kurt Busch,8,23,1,1,37,12,17,248,231,181,73.0,5,133,66.5,1,0.5,200,107.0,1
1,Ryan Blaney,36,26,2,1,38,9,18,315,297,240,76.2,11,166,83.0,2,1.0,200,106.2,1
2,A.J. Allmendinger,38,15,3,1,38,18,53,250,197,105,42.0,6,75,37.5,2,1.0,200,80.5,1
3,Aric Almirola,13,13,4,1,31,15,-9,279,288,124,44.4,7,96,48.0,2,1.0,200,82.9,1
4,Paul Menard,33,35,5,3,37,16,14,303,289,172,56.8,8,109,54.5,0,0.0,200,92.9,1
5,Joey Logano,15,24,6,1,40,11,-17,287,304,243,84.7,9,156,78.0,16,8.0,200,95.7,1
6,Kasey Kahne,26,6,7,1,36,15,37,292,255,135,46.2,3,106,53.0,7,3.5,200,76.3,1
7,Michael Waltrip,30,10,8,8,39,22,13,227,214,57,25.1,14,50,25.0,0,0.0,200,72.2,1
8,Matt DiBenedetto,25,20,9,4,40,21,12,214,202,54,25.2,5,55,27.5,0,0.0,200,59.6,1
9,Trevor Bayne,11,12,10,4,38,19,6,265,259,122,46.0,5,84,42.0,0,0.0,200,65.2,1
10,Brendan Gaughan,39,11,11,7,40,19,23,231,208,46,19.9,5,45,22.5,0,0.0,200,63.4,1
11,Kyle Larson,16,8,12,1,25,8,15,305,290,262,85.9,3,174,87.0,16,8.0,200,101.2,1
12,"Martin Truex, Jr.",35,37,13,1,37,20,-19,192,211,100,52.1,8,81,40.5,2,1.0,200,82.1,1
13,Chase Elliott,1,9,14,1,27,8,-12,237,249,177,74.7,7,164,82.0,39,19.5,200,93.1,1
14,Michael McDowell,22,29,15,4,31,13,5,337,332,228,67.7,3,139,69.5,0,0.0,200,70.5,1
15,Landon Cassill,27,16,16,11,35,23,-8,161,169,31,19.3,3,18,9.0,0,0.0,199,47.5,1
16,Denny Hamlin,4,34,17,2,37,20,-72,146,218,114,78.1,1,63,31.5,0,0.0,199,59.6,1
17,Cole Whitt,17,7,18,1,37,19,-8,199,207,69,34.7,3,90,45.0,3,1.5,199,52.1,1
18,Austin Dillon,10,18,19,1,35,14,11,276,265,168,60.9,4,115,57.5,7,3.5,199,73.5,1
19,Elliott Sadler,40,2,20,1,40,18,37,187,150,28,15.0,4,50,25.0,5,2.5,199,54.7,1
20,Ryan Newman,14,14,21,6,28,16,-9,202,211,131,64.9,2,97,48.5,0,0.0,198,61.7,1
21,Kevin Harvick,5,21,22,1,29,12,-42,104,146,88,84.6,3,108,54.0,50,25.4,197,96.9,1
22,Joey Gase,29,17,23,9,33,22,25,196,171,18,9.2,1,11,5.5,0,0.0,196,42.7,1
23,Corey LaJoie,31,39,24,16,39,31,5,85,80,0,0.0,2,0,0.0,0,0.0,193,36.1,1
24,David Ragan,20,40,25,4,40,28,-13,118,131,93,78.8,0,42,21.0,0,0.0,188,68.8,1
25,Jeffrey Earnhardt,32,27,26,7,40,27,3,76,73,12,15.8,0,14,7.0,0,0.0,145,33.0,1
26,Brad Keselowski,7,25,27,1,30,13,8,188,180,168,89.4,2,121,60.5,2,1.4,143,87.0,1
27,Jamie McMurray,3,5,28,1,27,13,-41,195,236,154,79.0,0,116,58.0,13,9.2,141,82.5,1
28,Daniel Suarez,19,38,29,9,40,32,-34,45,79,1,2.2,0,4,2.0,0,0.0,141,37.5,1
29,Ty Dillon,18,30,30,8,35,22,11,199,188,92,46.2,3,51,25.5,0,0.0,140,59.0,1
30,"Ricky Stenhouse, Jr.",23,36,31,4,39,28,-19,128,147,47,36.7,2,25,12.5,0,0.0,133,74.0,1
31,Clint Bowyer,6,19,32,2,35,23,-6,149,155,87,58.4,3,45,22.5,0,0.0,128,51.8,1
32,Danica Patrick,12,22,33,2,30,20,-14,205,219,137,66.8,1,86,43.0,0,0.0,128,68.2,1
33,Jimmie Johnson,24,3,34,1,40,21,36,180,144,79,43.9,7,78,39.0,7,5.5,127,71.5,1
34,Chris Buescher,37,4,35,2,38,21,32,217,185,74,34.1,3,72,36.0,0,0.0,127,66.7,1
35,D.J. Kennington,28,28,36,18,36,29,-2,134,136,0,0.0,0,0,0.0,0,0.0,127,32.5,1
36,"Dale Earnhardt, Jr.",2,1,37,1,35,8,9,177,168,150,84.8,3,93,46.5,8,7.6,106,97.4,1
37,Kyle Busch,21,31,38,1,35,25,-38,99,137,70,70.7,1,57,28.5,18,17.5,103,67.9,1
38,Erik Jones,34,32,39,16,40,34,1,113,112,0,0.0,4,0,0.0,0,0.0,103,50.6,1
39,Matt Kenseth,9,33,40,8,39,33,-23,90,113,21,23.3,2,11,5.5,0,0.0,103,45.7,1
0,Brad Keselowski,5,8,1,1,18,4,10,81,71,58,71.6,40,311,95.7,21,6.5,325,130.4,2
1,Kyle Larson,8,5,2,1,34,6,2,82,80,46,56.1,9,314,96.6,7,2.2,325,112.3,2
2,Matt Kenseth,16,18,3,1,34,16,5,85,80,28,32.9,4,157,48.3,0,0.0,325,82.9,2
3,Kasey Kahne,29,15,4,4,32,16,16,80,64,24,30.0,4,166,51.1,0,0.0,325,82.9,2
4,Chase Elliott,11,2,5,2,20,4,2,62,60,44,71.0,19,323,99.4,0,0.0,325,114.9,2
5,Joey Logano,6,14,6,3,26,12,-5,81,86,35,43.2,20,212,65.2,0,0.0,325,103.1,2
6,Kurt Busch,13,12,7,3,31,9,1,104,103,68,65.4,0,318,97.9,0,0.0,325,93.0,2
7,"Martin Truex, Jr.",9,4,8,3,17,7,9,82,73,62,75.6,4,323,99.4,0,0.0,325,103.1,2
8,Kevin Harvick,1,1,9,1,18,1,9,24,15,18,75.0,59,323,99.4,292,89.9,325,137.2,2
9,Jamie McMurray,7,10,10,4,25,10,-8,113,121,83,73.5,1,312,96.0,0,0.0,325,84.2,2
10,Clint Bowyer,25,9,11,3,26,11,14,98,84,49,50.0,4,254,78.2,0,0.0,325,84.6,2
11,Trevor Bayne,15,11,12,5,19,11,-4,96,100,66,68.8,1,301,92.6,0,0.0,325,80.9,2
12,"Ricky Stenhouse, Jr.",4,13,13,2,21,9,-2,75,77,55,73.3,9,324,99.7,0,0.0,325,91.9,2
13,Erik Jones,23,7,14,2,24,11,15,117,102,66,56.4,3,253,77.9,0,0.0,325,83.2,2
14,Ty Dillon,26,20,15,15,30,20,2,85,83,3,3.5,5,7,2.2,0,0.0,325,69.5,2
15,Kyle Busch,3,21,16,2,36,17,-21,89,110,16,18.0,2,58,17.9,0,0.0,325,69.0,2
16,Danica Patrick,24,17,17,15,29,18,4,78,74,0,0.0,0,3,0.9,0,0.0,325,66.3,2
17,Ryan Blaney,14,24,18,7,33,21,-18,86,104,18,20.9,21,44,13.5,0,0.0,324,68.5,2
18,Jimmie Johnson,18,16,19,1,25,15,8,94,86,24,25.5,0,113,34.8,2,0.6,324,74.0,2
19,Cole Whitt,37,26,20,8,37,24,24,97,73,5,5.2,0,4,1.2,0,0.0,324,52.8,2
20,Daniel Suarez,21,29,21,21,33,26,-4,57,61,0,0.0,1,0,0.0,0,0.0,323,50.9,2
21,Landon Cassill,27,27,22,1,35,24,5,91,86,8,8.8,2,5,1.5,0,0.0,323,50.1,2
22,David Ragan,34,22,23,2,34,22,11,86,75,9,10.5,7,5,1.5,0,0.0,323,58.4,2
23,Chris Buescher,28,30,24,23,36,28,2,58,56,0,0.0,4,0,0.0,0,0.0,323,47.7,2
24,Paul Menard,17,25,25,16,34,24,-1,77,78,0,0.0,0,0,0.0,0,0.0,322,49.0,2
25,A.J. Allmendinger,20,23,26,16,33,24,-9,83,92,1,1.2,4,0,0.0,0,0.0,322,55.9,2
26,Aric Almirola,30,31,27,27,36,30,3,58,55,0,0.0,1,0,0.0,0,0.0,321,40.2,2
27,Matt DiBenedetto,22,33,28,17,34,31,-12,58,70,0,0.0,0,0,0.0,0,0.0,321,41.2,2
28,Michael McDowell,36,32,29,23,38,31,7,46,39,0,0.0,2,0,0.0,0,0.0,320,44.1,2
29,"Dale Earnhardt, Jr.",12,28,30,12,35,27,-15,63,78,4,6.4,32,32,9.9,0,0.0,320,63.5,2
30,Reed Sorenson,33,34,31,9,36,31,-1,74,75,3,4.1,0,2,0.6,0,0.0,320,37.7,2
31,Austin Dillon,19,6,32,2,32,10,2,90,88,57,63.3,3,273,84.0,0,0.0,319,77.3,2
32,Jeffrey Earnhardt,35,35,33,24,38,34,2,40,38,0,0.0,0,0,0.0,0,0.0,317,29.1,2
33,Corey LaJoie,32,37,34,31,39,35,-4,17,21,0,0.0,2,0,0.0,0,0.0,313,30.8,2
34,Ryan Newman,2,3,35,1,35,8,-23,74,97,50,67.6,7,282,86.8,3,1.0,309,89.2,2
35,Derrike Cope,38,38,36,20,38,37,0,33,33,0,0.0,1,0,0.0,0,0.0,298,26.9,2
36,Gray Gaulding,31,36,37,10,37,35,-4,44,48,3,6.8,11,2,0.6,0,0.0,253,31.9,2
37,Denny Hamlin,10,19,38,2,38,20,-20,51,71,30,58.8,7,154,47.4,0,0.0,182,67.0,2
38,Cody Ware,39,39,39,37,39,38,0,2,2,0,0.0,0,0,0.0,0,0.0,74,23.2,2
0,"Martin Truex, Jr.",2,1,1,1,14,1,4,30,26,20,66.7,62,267,100.0,150,56.2,267,147.6,3
1,Kyle Larson,5,4,2,1,13,5,6,46,40,36,78.3,6,267,100.0,0,0.0,267,113.0,3
2,Chase Elliott,12,2,3,2,12,4,11,46,35,37,80.4,11,267,100.0,0,0.0,267,116.3,3
3,Joey Logano,6,7,4,1,21,6,2,56,54,36,64.3,15,250,93.6,5,1.9,267,108.0,3
4,Brad Keselowski,1,3,5,1,9,2,-1,28,29,25,89.3,65,267,100.0,89,33.3,267,127.5,3
5,Denny Hamlin,15,12,6,6,29,13,5,71,66,47,66.2,1,193,72.3,0,0.0,267,85.9,3
6,Ryan Blaney,3,10,7,3,26,7,11,61,50,28,45.9,5,248,92.9,0,0.0,267,101.0,3
7,Jamie McMurray,10,15,8,2,25,12,4,82,78,44,53.7,5,221,82.8,0,0.0,267,86.7,3
8,Matt Kenseth,4,13,9,4,26,12,1,78,77,39,50.0,0,197,73.8,0,0.0,267,88.7,3
9,Clint Bowyer,13,17,10,8,27,15,10,72,62,19,26.4,0,142,53.2,0,0.0,267,75.8,3
10,Jimmie Johnson,16,5,11,1,26,10,20,86,66,62,72.1,31,223,83.5,19,7.1,267,94.9,3
11,Kasey Kahne,7,16,12,6,27,15,0,85,85,25,29.4,1,131,49.1,0,0.0,267,78.2,3
12,Trevor Bayne,20,11,13,8,22,15,-9,59,68,25,42.4,0,138,51.7,0,0.0,267,75.5,3
13,Aric Almirola,30,18,14,5,35,20,17,86,69,7,8.1,0,10,3.8,0,0.0,267,69.2,3
14,Erik Jones,8,9,15,5,18,10,9,67,58,50,74.6,0,254,95.1,0,0.0,267,90.5,3
15,"Dale Earnhardt, Jr.",18,6,16,4,25,11,-7,55,62,33,60.0,2,221,82.8,0,0.0,267,84.2,3
16,Ryan Newman,21,8,17,4,27,12,-1,66,67,34,51.5,0,174,65.2,0,0.0,267,80.2,3
17,Michael McDowell,26,28,18,1,32,23,-9,61,70,9,14.8,0,15,5.6,2,0.8,267,57.2,3
18,Paul Menard,14,19,19,2,31,19,-21,64,85,12,18.8,1,34,12.7,0,0.0,267,64.2,3
19,Daniel Suarez,11,22,20,11,30,21,-16,45,61,1,2.2,2,10,3.8,0,0.0,267,60.0,3
20,Ty Dillon,24,25,21,1,29,22,-5,71,76,6,8.5,0,6,2.3,2,0.8,267,58.2,3
21,Kyle Busch,9,24,22,3,26,7,-8,71,79,33,46.5,8,230,86.1,0,0.0,267,97.3,3
22,Chris Buescher,25,27,23,3,29,25,-4,56,60,7,12.5,0,4,1.5,0,0.0,266,53.5,3
23,A.J. Allmendinger,23,26,24,11,31,26,-3,55,58,2,3.6,0,1,0.4,0,0.0,266,50.5,3
24,Austin Dillon,22,29,25,9,29,21,-17,55,72,11,20.0,3,45,16.9,0,0.0,266,63.1,3
25,Matt DiBenedetto,31,30,26,19,34,29,6,39,33,0,0.0,0,0,0.0,0,0.0,265,45.2,3
26,Landon Cassill,27,23,27,20,36,28,2,50,48,0,0.0,1,0,0.0,0,0.0,264,45.4,3
27,Cole Whitt,33,31,28,18,33,31,0,35,35,0,0.0,0,0,0.0,0,0.0,264,41.5,3
28,David Ragan,32,32,29,28,36,31,1,23,22,0,0.0,0,0,0.0,0,0.0,264,38.2,3
29,Kurt Busch,17,14,30,1,33,18,-20,81,101,35,43.2,2,121,45.3,0,0.0,263,67.7,3
30,Reed Sorenson,37,33,31,20,37,33,4,17,13,0,0.0,0,0,0.0,0,0.0,262,34.7,3
31,Jeffrey Earnhardt,36,34,32,32,37,35,-5,12,17,0,0.0,0,0,0.0,0,0.0,261,32.3,3
32,"Ricky Stenhouse, Jr.",29,20,33,9,33,21,18,77,59,3,3.9,0,3,1.1,0,0.0,261,54.3,3
33,Gray Gaulding,35,35,34,6,36,33,-9,14,23,0,0.0,0,2,0.8,0,0.0,260,35.7,3
34,Derrike Cope,38,36,35,35,39,36,0,4,4,0,0.0,0,0,0.0,0,0.0,254,27.0,3
35,Danica Patrick,28,21,36,18,37,29,3,54,51,0,0.0,4,0,0.0,0,0.0,246,40.8,3
36,Timmy Hill,39,37,37,37,39,36,-1,1,2,0,0.0,0,0,0.0,0,0.0,135,27.5,3
37,Kevin Harvick,19,38,38,5,19,29,13,16,3,10,62.5,2,64,24.0,0,0.0,68,62.2,3
38,Corey LaJoie,34,39,39,30,35,37,-4,7,11,0,0.0,0,0,0.0,0,0.0,16,24.3,3
0,Ryan Newman,22,13,1,1,22,11,25,49,24,40,81.6,18,289,92.0,6,1.9,314,102.2,4
1,Kyle Larson,4,2,2,1,4,2,-2,9,11,6,66.7,24,314,100.0,3,1.0,314,124.1,4
2,Kyle Busch,9,3,3,1,9,3,9,16,7,15,93.8,55,314,100.0,114,36.3,314,129.6,4
3,"Ricky Stenhouse, Jr.",21,23,4,2,32,18,24,48,24,14,29.2,4,96,30.6,0,0.0,314,80.9,4
4,Brad Keselowski,6,5,5,2,9,3,13,19,6,19,100.0,33,314,100.0,0,0.0,314,119.0,4
5,Kevin Harvick,23,9,6,2,23,8,4,20,16,15,75.0,4,273,86.9,0,0.0,314,99.9,4
6,Daniel Suarez,27,21,7,7,28,19,4,34,30,9,26.5,0,57,18.2,0,0.0,314,73.5,4
7,Erik Jones,8,8,8,3,15,8,1,26,25,25,96.2,6,314,100.0,0,0.0,314,100.7,4
8,Jimmie Johnson,14,4,9,3,27,7,10,23,13,23,100.0,17,307,97.8,0,0.0,314,105.1,4
9,Denny Hamlin,19,7,10,1,35,14,35,61,26,25,41.0,7,181,57.6,0,0.0,314,83.8,4
10,"Martin Truex, Jr.",16,17,11,3,30,14,26,53,27,26,49.1,0,199,63.4,0,0.0,314,81.7,4
11,Chase Elliott,7,1,12,1,26,4,0,55,55,18,32.7,53,307,97.8,106,33.8,314,115.9,4
12,Clint Bowyer,13,14,13,9,20,14,3,33,30,28,84.9,0,217,69.1,0,0.0,314,79.7,4
13,"Dale Earnhardt, Jr.",3,11,14,3,25,11,-14,18,32,13,72.2,4,240,76.4,0,0.0,314,85.9,4
14,Jamie McMurray,5,6,15,3,19,8,-11,24,35,19,79.2,16,313,99.7,0,0.0,314,97.4,4
15,Ty Dillon,15,16,16,12,28,20,-18,27,45,6,22.2,0,9,2.9,0,0.0,314,63.8,4
16,Aric Almirola,28,26,17,13,36,24,16,49,33,0,0.0,0,2,0.6,0,0.0,314,58.0,4
17,Austin Dillon,17,19,18,11,29,18,-11,35,46,9,25.7,1,49,15.6,0,0.0,314,68.4,4
18,Trevor Bayne,24,25,19,12,30,23,-12,23,35,2,8.7,0,3,1.0,0,0.0,314,60.3,4
19,Kasey Kahne,10,12,20,7,28,13,3,37,34,19,51.4,1,257,81.9,0,0.0,314,77.1,4
20,Paul Menard,18,20,21,13,24,19,-15,16,31,0,0.0,0,4,1.3,0,0.0,314,62.2,4
21,Danica Patrick,26,22,22,15,28,24,-14,26,40,0,0.0,0,1,0.3,0,0.0,314,52.8,4
22,Ryan Blaney,2,10,23,2,26,10,-9,30,39,14,46.7,2,260,82.8,0,0.0,314,81.3,4
23,Michael McDowell,25,28,24,21,31,25,0,48,48,0,0.0,0,0,0.0,0,0.0,314,51.0,4
24,Kurt Busch,11,33,25,1,36,24,9,30,21,3,10.0,0,69,22.0,1,0.3,314,65.7,4
25,A.J. Allmendinger,20,24,26,10,28,23,-15,38,53,0,0.0,0,1,0.3,0,0.0,314,54.0,4
26,Chris Buescher,33,30,27,1,33,27,-6,43,49,0,0.0,0,2,0.6,1,0.3,314,46.4,4
27,Landon Cassill,29,31,28,9,34,29,-4,12,16,0,0.0,0,0,0.0,0,0.0,313,43.2,4
28,Matt DiBenedetto,30,29,29,20,35,31,-4,18,22,0,0.0,0,0,0.0,0,0.0,313,39.9,4
29,Reed Sorenson,35,32,30,1,36,31,-7,8,15,0,0.0,0,3,1.0,1,0.3,312,37.6,4
30,Joey Logano,1,18,31,1,32,10,-4,20,24,7,35.0,18,214,68.2,82,26.7,307,86.0,4
31,Timmy Hill,39,37,32,32,39,35,2,5,3,0,0.0,0,0,0.0,0,0.0,307,29.2,4
32,Derrike Cope,37,36,33,33,38,35,-1,5,6,0,0.0,0,0,0.0,0,0.0,307,30.1,4
33,Cole Whitt,32,35,34,24,36,33,-8,10,18,0,0.0,0,0,0.0,0,0.0,256,34.7,4
34,David Ragan,34,27,35,20,34,30,-3,23,26,0,0.0,0,0,0.0,0,0.0,204,40.8,4
35,Gray Gaulding,36,34,36,4,37,34,-4,10,14,0,0.0,0,1,0.3,0,0.0,201,31.5,4
36,Matt Kenseth,12,15,37,9,37,23,-9,15,24,15,100.0,0,100,31.9,0,0.0,190,62.2,4
37,Corey LaJoie,31,38,38,29,38,36,-8,9,17,0,0.0,0,0,0.0,0,0.0,115,27.3,4
38,Jeffrey Earnhardt,38,39,39,38,39,38,-3,1,4,0,0.0,0,0,0.0,0,0.0,9,23.2,4
0,Kyle Larson,1,2,1,1,11,1,9,35,26,26,74.3,38,202,100.0,110,54.5,202,144.3,5
1,Brad Keselowski,3,12,2,2,39,15,19,102,83,39,38.2,2,117,57.9,0,0.0,202,86.0,5
2,Clint Bowyer,17,3,3,2,22,5,12,63,51,39,61.9,6,193,95.5,0,0.0,202,113.6,5
3,"Martin Truex, Jr.",4,1,4,1,27,2,2,40,38,26,65.0,35,201,99.5,73,36.1,202,130.8,5
4,Joey Logano,35,6,5,1,35,9,32,106,74,62,58.5,11,183,90.6,1,0.5,202,101.4,5
5,Jamie McMurray,8,8,6,2,28,6,-7,65,72,48,73.9,1,201,99.5,0,0.0,202,105.4,5
6,Daniel Suarez,10,19,7,3,26,17,0,63,63,22,34.9,0,37,18.3,0,0.0,202,77.7,5
7,Kyle Busch,9,7,8,1,13,6,-3,90,93,63,70.0,17,202,100.0,7,3.5,202,102.8,5
8,Ryan Blaney,19,18,9,4,19,11,13,111,98,67,60.4,0,144,71.3,0,0.0,202,92.2,5
9,Chase Elliott,13,4,10,1,17,5,11,74,63,49,66.2,21,192,95.1,4,2.0,202,112.8,5
10,Austin Dillon,11,16,11,6,22,14,10,91,81,39,42.9,1,113,55.9,0,0.0,202,82.6,5
11,Erik Jones,14,5,12,4,30,7,15,93,78,60,64.5,4,193,95.5,0,0.0,202,100.6,5
12,Kevin Harvick,7,24,13,7,39,25,7,88,81,5,5.7,6,3,1.5,0,0.0,202,61.4,5
13,Denny Hamlin,2,9,14,1,19,8,-6,61,67,39,63.9,3,201,99.5,4,2.0,202,92.5,5
14,Ryan Newman,5,22,15,5,39,21,4,87,83,7,8.1,0,8,4.0,0,0.0,202,63.4,5
15,"Dale Earnhardt, Jr.",18,11,16,11,34,15,22,107,85,42,39.3,0,126,62.4,0,0.0,202,78.5,5
16,A.J. Allmendinger,24,23,17,11,32,21,-4,77,81,6,7.8,0,11,5.5,0,0.0,202,63.2,5
17,Ty Dillon,21,17,18,1,31,15,-4,84,88,31,36.9,4,86,42.6,1,0.5,202,70.5,5
18,Aric Almirola,31,21,19,14,31,20,10,83,73,2,2.4,0,1,0.5,0,0.0,202,66.9,5
19,Kasey Kahne,12,13,20,5,22,12,-8,74,82,39,52.7,0,148,73.3,0,0.0,202,78.8,5
20,Jimmie Johnson,37,20,21,5,38,21,31,100,69,4,4.0,5,2,1.0,0,0.0,202,65.9,5
21,"Ricky Stenhouse, Jr.",16,15,22,9,29,13,-4,95,99,63,66.3,0,180,89.1,0,0.0,202,77.5,5
22,Trevor Bayne,36,10,23,8,36,14,6,87,81,31,35.6,1,136,67.3,0,0.0,202,76.0,5
