,Driver,Daytona,Phoenix,Las Vegas,Bristol,Fontana,Martinsville,Fort Worth,Kansas,Richmond,Talladega,Darlington,Charlotte,Dover,Pocono,Michigan,Sonoma,Kentucky,Loudon,Indianapolis,Watkins Glen,Atlanta,Chicago,Homestead,plate_tracks,flat_tracks,int_tracks,short_tracks,road_courses
0,Justin Allgaier,26.8,26.6,31.0,19.2,20.0,23.8,27.8,34.4,23.0,29.0,28.0,33.8,31.0,21.8,28.5,34.0,24.0,34.0,32.0,18.0,23.0,25.7,25.5,27.9,28.6,27.7,22.0,26.0
1,A.J. Allmendinger,26.6,18.2,18.8,19.6,16.2,14.5,20.6,20.6,17.3,17.1,23.5,23.8,22.6,25.2,22.1,24.2,23.0,18.7,25.2,9.8,22.0,24.0,26.0,21.9,21.8,21.9,17.1,17.0
2,Aric Almirola,21.9,15.9,23.0,22.8,22.8,16.4,19.0,20.2,16.9,18.1,21.2,18.5,16.2,26.4,21.0,22.4,22.4,20.0,24.0,23.2,17.4,22.6,24.6,20.0,21.6,20.7,18.7,22.8
3,Marcos Ambrose,19.2,20.8,19.7,17.8,29.0,15.7,23.2,16.8,25.2,20.2,19.0,24.3,17.5,15.0,13.3,7.7,13.0,24.2,19.3,11.3,24.0,22.3,22.0,19.7,19.8,20.3,19.6,9.5
4,Michael Annett,25.8,32.2,32.7,32.2,28.7,31.2,31.0,28.3,35.5,30.6,36.3,29.7,37.3,28.2,31.2,33.0,24.7,33.2,29.7,33.0,26.7,35.7,31.0,28.2,30.8,31.1,33.0,33.0
5,Trevor Bayne,25.0,28.2,19.4,15.0,24.5,24.8,25.7,22.4,19.5,25.7,37.5,21.8,26.0,24.0,23.3,24.0,12.0,27.2,31.6,15.5,19.0,23.7,28.6,25.4,27.8,23.7,19.8,19.8
6,Greg Biffle,15.6,15.5,15.2,15.7,24.2,14.2,13.9,17.6,19.8,17.7,16.8,16.6,18.7,14.0,13.4,13.8,18.2,14.5,19.6,16.6,15.6,19.8,20.4,16.6,15.9,17.5,16.6,15.2
7,Dave Blaney,21.2,28.0,26.5,32.2,27.0,34.2,35.4,36.0,29.0,25.0,32.3,36.2,33.6,29.6,31.4,37.0,37.5,31.0,30.0,31.5,25.5,28.0,35.0,23.1,29.6,32.0,31.8,34.2
8,Ryan Blaney,24.0,9.0,12.5,22.7,35.0,19.0,31.5,13.2,33.5,17.8,21.5,26.8,23.0,10.5,17.2,23.0,35.0,15.3,24.0,19.0,25.0,4.0,21.5,20.9,14.7,22.2,25.1,21.0
9,Mike Bliss,,36.6,,38.5,41.0,34.0,39.5,40.5,40.0,,37.5,39.0,37.0,38.5,40.0,,41.3,43.0,43.0,,35.7,42.5,43.0,,40.3,39.7,37.5,
