,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track
0,1,8,41,Kurt Busch,Haas Automation / Monster Energy (Stewart Haas Racing),Ford,200,running,1,48,5,Daytona
1,2,36,21,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,200,running,2,44,0,Daytona
2,3,38,47,A.J. Allmendinger,Kroger ClickList / Stouffer's / Cheez-It (JTG-Daugherty Racing),Chevrolet,200,running,2,39,0,Daytona
3,4,13,43,Aric Almirola,Smithfield Foods (Richard Petty Motorsports),Ford,200,running,2,33,0,Daytona
4,5,33,27,Paul Menard,Menards / Peak (Richard Childress),Chevrolet,200,running,0,32,0,Daytona
5,6,15,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,200,running,16,40,0,Daytona
6,7,26,5,Kasey Kahne,Farmers Insurance (Rick Hendrick),Chevrolet,200,running,7,30,0,Daytona
7,8,30,15,Michael Waltrip,"Aaron's ""Thanks, Mikey!"" (Jay Robinson)",Toyota,200,running,0,29,0,Daytona
8,9,25,32,Matt DiBenedetto,E.J. Wade Foundation (Archie St. Hilaire),Ford,200,running,0,28,0,Daytona
9,10,11,6,Trevor Bayne,AdvoCare (Jack Roush),Ford,200,running,0,27,0,Daytona
10,11,39,75,Brendan Gaughan,Beard Oil Distributing (Beard Motorsports),Chevrolet,200,running,0,0,0,Daytona
11,12,16,42,Kyle Larson,Target / Cottonelle (Chip Ganassi),Chevrolet,200,running,16,33,0,Daytona
12,13,35,78,"Martin Truex, Jr.",Bass Pro Shops / Tracker Boats (Barney Visser),Toyota,200,running,2,24,0,Daytona
13,14,1,24,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,200,running,39,23,0,Daytona
14,15,22,95,Michael McDowell,K-LOVE Radio (Leavine Family Racing),Chevrolet,200,running,0,22,0,Daytona
15,16,27,34,Landon Cassill,Love's Travel Stops (Bob Jenkins),Ford,199,running,0,21,0,Daytona
16,17,4,11,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,199,running,0,23,0,Daytona
17,18,17,72,Cole Whitt,Florida Lottery (Mark Smith),Ford,199,running,3,19,0,Daytona
18,19,10,3,Austin Dillon,Dow (Richard Childress),Chevrolet,199,running,7,18,0,Daytona
19,20,40,7,Elliott Sadler,"Golden Corral (Tommy Baldwin, Jr.)",Chevrolet,199,running,5,0,0,Daytona
20,21,14,31,Ryan Newman,Caterpillar (Richard Childress),Chevrolet,198,running,0,18,0,Daytona
